iter	Logloss	Accuracy
601	0.3125872325	0.9319384515
602	0.312299851	0.9323455182
603	0.3120854897	0.9321012782
604	0.3118085785	0.9323455182
605	0.3117048355	0.9324269315
606	0.3114755031	0.9329968249
607	0.3111501759	0.9333224782
608	0.3108028219	0.9338923716
609	0.3104584057	0.9343808516
610	0.3102286995	0.9347879183
611	0.3099213797	0.9350321583
612	0.3096061837	0.9348693316
613	0.3092396363	0.9355206383
614	0.3089680062	0.9357648783
615	0.3087931731	0.9355206383
616	0.3085298601	0.9356020516
617	0.3082505168	0.9357648783
618	0.3080423078	0.9357648783
619	0.3078340362	0.9360091183
620	0.3076360372	0.9357648783
621	0.3073829299	0.935927705
622	0.3071053184	0.936171945
623	0.3067523248	0.9369860783
624	0.3066068681	0.937393145
625	0.3062034385	0.937393145
626	0.3060619847	0.9372303183
627	0.3056821091	0.937393145
628	0.3056648905	0.937393145
629	0.3054519183	0.937637385
630	0.30528009	0.9380444517
631	0.304975106	0.9379630383
632	0.3046834801	0.938125865
633	0.3044289942	0.9384515184
634	0.3041357107	0.9382886917
635	0.3037598484	0.9390214117
636	0.303500061	0.9395098917
637	0.3032373975	0.9395913051
638	0.3029610906	0.9398355451
639	0.3026931532	0.9401611984
640	0.3024784121	0.9402426117
641	0.3022324968	0.9406496784
642	0.3019961883	0.9408939184
643	0.3018074342	0.9407310918
644	0.3016573331	0.9409753318
645	0.3013418341	0.9413823984
646	0.3011540471	0.9417894651
647	0.3009066429	0.9415452251
648	0.3005556271	0.9417080518
649	0.3003187347	0.9417894651
650	0.2999929598	0.9418708784
651	0.2998014585	0.9421965318
652	0.2994107642	0.9426850118
653	0.2991875263	0.9429292518
654	0.2989489761	0.9429292518
655	0.298723009	0.9430920785
656	0.2984119007	0.9432549052
657	0.2979991566	0.9439062118
658	0.2977649361	0.9438247985
659	0.2974155192	0.9437433852
660	0.2970694333	0.9437433852
661	0.2968144546	0.9443132785
662	0.2966249627	0.9443946919
663	0.2963426948	0.9448831719
664	0.2960678225	0.9450459985
665	0.295926583	0.9450459985
666	0.2956749005	0.9455344785
667	0.2954118012	0.9454530652
668	0.2951938761	0.9453716519
669	0.2949103104	0.9455344785
670	0.2946446737	0.9455344785
671	0.2943927074	0.9454530652
672	0.294205556	0.9456973052
673	0.2939239068	0.9457787186
674	0.2936457299	0.9456158919
675	0.2933557384	0.9460229586
676	0.2931293524	0.9460229586
677	0.2928627099	0.9463486119
678	0.2925614096	0.9467556786
679	0.2922897621	0.9470813319
680	0.2920414072	0.9469999186
681	0.2916653585	0.9467556786
682	0.2913792774	0.9473255719
683	0.2911375533	0.9476512253
684	0.290883859	0.9477326386
685	0.2906633308	0.9473255719
686	0.2904209035	0.9474883986
687	0.2901439376	0.9474069853
688	0.2899333271	0.9475698119
689	0.289605203	0.9487095986
690	0.2893889529	0.948546772
691	0.2891449234	0.949035252
692	0.28882561	0.9491980786
693	0.288550923	0.9493609053
694	0.2881814931	0.9493609053
695	0.287901798	0.9493609053
696	0.2875599573	0.949767972
697	0.287214656	0.949767972
698	0.2869156257	0.9500936253
699	0.2866801889	0.950012212
700	0.2866670609	0.9501750387
701	0.2864436061	0.9504192787
702	0.2863277607	0.9504192787
703	0.2861729096	0.950500692
704	0.2859057995	0.950744932
705	0.2857189181	0.950744932
706	0.2854815858	0.9506635187
707	0.2853107575	0.950500692
708	0.2850781558	0.9511519987
709	0.2847921553	0.9511519987
710	0.2845465529	0.9515590654
711	0.284480033	0.951721892
712	0.2842173074	0.9516404787
713	0.284048745	0.9516404787
714	0.2838068427	0.9518033054
715	0.2836550188	0.9518033054
716	0.2835711586	0.9516404787
717	0.2832880866	0.9519661321
718	0.2830805047	0.9522917854
719	0.2829079477	0.9522103721
720	0.2826937541	0.9526988521
721	0.2824367778	0.9529430921
722	0.2821952608	0.9531873321
723	0.2819481839	0.9534315721
724	0.2816743636	0.9540014654
725	0.2813682792	0.9538386388
726	0.2810784795	0.9544085321
727	0.2808412226	0.9548970121
728	0.2806759174	0.9544085321
729	0.2805511947	0.9544899455
730	0.2803728383	0.9544899455
731	0.2800564773	0.9545713588
732	0.2797116725	0.9549784255
733	0.2795146127	0.9555483188
734	0.279174274	0.9555483188
735	0.2788739088	0.9559553855
736	0.2785407153	0.9562810388
737	0.2781997798	0.9570137589
738	0.2779401469	0.9574208255
739	0.2776910679	0.9575836522
740	0.2773436107	0.9580721322
741	0.2772607455	0.9578278922
742	0.277017509	0.9583163722
743	0.2767374437	0.9583977856
744	0.2763951891	0.9586420256
745	0.2761254618	0.9588862656
746	0.2759344699	0.9587234389
747	0.2757555001	0.9590490922
748	0.2755509833	0.9591305056
749	0.2753663505	0.9594561589
750	0.2751172816	0.9593747456
751	0.2749010414	0.9594561589
752	0.2747073659	0.9592119189
753	0.2744939445	0.9588862656
754	0.2741619146	0.9586420256
755	0.2737597258	0.9590490922
756	0.2735108261	0.9592119189
757	0.2733275505	0.9595375723
758	0.2730673849	0.9591305056
759	0.2728425672	0.9593747456
760	0.2725908431	0.9597003989
761	0.2722492892	0.9601074656
762	0.2720877155	0.9602702923
763	0.2718967466	0.9607587723
764	0.271719346	0.9610030123
765	0.271506887	0.9610030123
766	0.2712040976	0.961165839
767	0.2709480588	0.961165839
768	0.2706581571	0.9614914923
769	0.2703971502	0.961654319
770	0.2701350404	0.961654319
771	0.2698474319	0.9613286656
772	0.2696144612	0.9610844256
773	0.269447944	0.9613286656
774	0.2692566191	0.9615729056
775	0.2690415102	0.9615729056
776	0.2687952398	0.961654319
777	0.2685673586	0.9614914923
778	0.268220147	0.961654319
779	0.2680558553	0.9614914923
780	0.2677733653	0.9619799723
781	0.2676007176	0.9618171456
782	0.2673997796	0.9619799723
783	0.2671904315	0.9617357323
784	0.2669822072	0.9623056257
785	0.2667959997	0.9623056257
786	0.2665279673	0.9625498657
787	0.2662218683	0.9624684523
788	0.2659896819	0.9624684523
789	0.2657163467	0.9627126923
790	0.2655134124	0.9632011724
791	0.2652528886	0.9635268257
792	0.2649750592	0.963608239
